k	x	y	x2	y2	col
2840	23.6550	11.7645	24.0565096	11.97098973	2840
2841	24.0565	11.9710	23.63995151	11.79688434	2841
2842	23.6400	11.7969	24.0843139	11.87664058	2842
2843	24.0843	11.8766	23.64014732	11.95739144	2843
2844	23.6401	11.9574	23.99221426	11.67483315	2844
2845	23.9922	11.6748	23.87656255	12.11118241	2845
2846	23.8766	12.1112	23.65417123	11.71836722	2846
2847	23.6542	11.7184	24.10096983	11.78254175	2847
2848	24.1010	11.7825	23.82357847	12.13861351	2848
2849	23.8236	12.1386	23.59604748	11.7488079	2849
2850	23.5960	11.7488	24.02902772	11.62140073	2850
